Days In 	Italy (2/23/20) 	Spain (3/1/20) 	France (3/2/20) 	Germany (3/2/20) 	US (3/4/20) 	United Kingdom (3/5/20) 	Belgium (3/6/20) 	Netherlands (3/6/20) 	Sweden (3/6/20) 	Switzerland (3/6/20) 	Austria (3/8/20) 	Canada (3/11/20) 	Israel (3/12/20) 	Brazil (3/13/20) 	Portugal (3/13/20) 	India (3/14/20) 	Ireland (3/14/20) 	Peru (3/17/20) 	Russia (3/17/20) 	Turkey (3/19/20)
0 	155 	84 	191 	159 	149 	116 	109 	128 	101 	214 	104 	108 	100 	151 	112 	102 	129 	117 	114 	192
1 	229 	120 	204 	196 	217 	164 	169 	188 	161 	268 	131 	117 	126 	151 	169 	113 	129 	145 	147 	359
2 	322 	165 	288 	262 	262 	207 	200 	265 	203 	337 	182 	193 	155 	162 	245 	119 	169 	234 	199 	670
3 	453 	222 	380 	482 	402 	274 	239 	321 	248 	374 	246 	198 	213 	200 	331 	142 	223 	234 	253 	1236
4 	655 	259 	656 	670 	518 	322 	267 	382 	355 	491 	302 	252 	218 	321 	448 	156 	292 	318 	306 	1529
5 	888 	400 	959 	799 	583 	384 	314 	503 	500 	652 	504 	415 	250 	372 	448 	194 	557 	363 	367 	1872
6 	1128 	500 	1136 	1040 	959 	459 	314 	503 	599 	652 	655 	478 	304 	621 	785 	244 	683 	395 	438 	2433
7 	1694 	673 	1219 	1176 	1281 	459 	559 	806 	814 	1139 	860 	657 	427 	793 	1020 	330 	785 	416 	495 	3629
8 	2036 	1073 	1794 	1457 	1663 	802 	689 	962 	961 	1359 	1018 	800 	529 	1021 	1280 	396 	906 	480 	658 	5698
9 	2502 	1695 	2293 	1908 	2179 	1144 	886 	1138 	1022 	2200 	1332 	943 	712 	1546 	1600 	499 	1125 	580 	840 	7402
10 	3089 	2277 	2293 	2078 	2727 	1145 	1058 	1416 	1103 	2200 	1646 	1277 	883 	1924 	2060 	536 	1329 	635 	1036 	9217
11 	3858 	2277 	3681 	3675 	3499 	1551 	1243 	1711 	1190 	2700 	2013 	1469 	1071 	2247 	2362 	657 	1564 	671 	1264 	10827
12 	4636 	5232 	4496 	4585 	4632 	1960 	1486 	2058 	1279 	3028 	2388 	2088 	1238 	2554 	2995 	727 	1819 	852 	1534 	13531
13 	5883 	6391 	4532 	5795 	6421 	2642 	1795 	2467 	1439 	4075 	2814 	2790 	2369 	2985 	3544 	887 	2121 	950 	1836 	15679
14 	7375 	7798 	6683 	7272 	7783 	2716 	2257 	3003 	1639 	5294 	3582 	3251 	2693 	3417 	4268 	987 	2415 	1065 	2337 	18135
15 	9172 	9942 	7715 	9257 	13747 	4014 	2815 	3640 	1763 	6575 	4474 	4042 	3035 	3904 	5170 	1024 	2615 	1323 	2777 	20921
16 	10149 	11748 	9124 	12327 	19273 	5067 	3401 	4217 	1934 	7474 	5283 	4682 	3619 	4256 	5962 	1251 	2910 	1414 	3548 	23934
17 	12462 	13910 	10970 	15320 	25600 	5745 	3743 	4764 	2046 	8795 	5588 	5576 	4247 	4579 	6408 	1397 	3235 	1595 	4149 	27069
18 	12462 	17963 	12758 	19848 	33276 	6726 	4269 	5580 	2286 	9877 	6909 	6280 	4695 	5717 	7443 	1998 	3447 	1746 	4731 	30217
19 	17660 	20410 	14463 	22213 	43847 	8164 	4937 	6438 	2526 	10897 	7657 	7398 	5358 	6836 	8251 	2543 	3849 	2281 	5389 	34109
20 	21157 	25374 	16243 	24873 	53740 	9640 	6235 	7468 	2840 	11811 	8271 	8527 	6092 	8044 	9034 	2567 	4273 	2561 	6343 	38226
